report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
2015,NM00101,Albuquerque,NM,559721,5406,43,404,3273,1686,965.84,7.68,72.18,584.76,301.22
2015,GAAPD00,Atlanta,GA,464710,5203,94,170,2944,1995,1119.62,20.23,36.58,633.51,429.3
2015,MA01301,Boston,MA,665258,4702,38,240,2873,1551,706.79,5.71,36.08,431.86,233.14
2015,NC06001,Charlotte,NC,877817,5948,61,216,3724,1947,677.59,6.95,24.61,424.23,221.8
2015,ILCPD00,Chicago,IL,2728695,24663,478,1432,13104,9649,903.84,17.52,52.48,480.23,353.61
2015,TXDPD00,Dallas,TX,1301977,9038,136,782,3943,4177,694.18,10.45,60.06,302.85,320.82
2015,CODPD00,Denver,CO,682418,4599,53,548,2768,1230,673.93,7.77,80.3,405.62,180.24
2015,MI82349,Detroit,MI,673225,11846,295,530,7564,3457,1759.59,43.82,78.73,1123.55,513.5
2015,VA02901,Fairfax County,VA,1101700,974,14,130,387,443,88.41,1.27,11.8,35.13,40.21
2015,HI00200,Honolulu,HI,999307,2437,15,318,1208,896,243.87,1.5,31.82,120.88,89.66
2015,INIPD00,Indianapolis,IN,863675,11124,148,677,6497,3802,1287.98,17.14,78.39,752.25,440.21
2015,FL01602,Jacksonville,FL,867258,5622,97,471,3656,1398,648.25,11.18,54.31,421.56,161.2
2015,MOKPD00,Kansas City,MO,473373,6709,109,366,4531,1703,1417.28,23.03,77.32,957.17,359.76
2015,NV00201,Las Vegas,NV,1562134,14383,127,1107,8139,5010,920.73,8.13,70.86,521.02,320.72
2015,CA01942,Los Angeles,CA,3962726,25156,282,2209,13713,8952,634.82,7.12,55.74,346.05,225.91
2015,KY05680,Louisville,KY,680550,4300,81,205,2469,1545,631.84,11.9,30.12,362.79,227.02
2015,TNMPD00,Memphis,TN,657936,11449,135,530,7653,3131,1740.14,20.52,80.55,1163.18,475.88
2015,WIMPD00,Milwaukee,WI,600400,9583,145,436,5253,3749,1596.1,24.15,72.62,874.92,624.42
2015,MN02711,Minneapolis,MN,413479,4395,47,407,2045,1896,1062.93,11.37,98.43,494.58,458.55
2015,MD01604,Montgomery County,MD,1009176,1964,29,269,1060,606,194.61,2.87,26.66,105.04,60.05
2015,LANPD00,New Orleans,LA,393447,3736,164,409,1666,1497,949.56,41.68,103.95,423.44,380.48
2015,NY03030,New York City,NY,8550861,50088,352,2244,30546,16946,585.77,4.12,26.24,357.23,198.18
2015,NJNPD00,Newark,NJ,279110,3072,107,104,1068,1793,1100.64,38.34,37.26,382.64,642.4
2015,OK05506,Oklahoma City,OK,630621,4828,73,480,3083,1192,765.59,11.58,76.12,488.88,189.02
2015,NB02802,Omaha,NE,452252,2329,48,174,1452,655,514.98,10.61,38.47,321.06,144.83
2015,PAPEP00,Philadelphia,PA,1567810,16132,280,1322,7765,6765,1028.95,17.86,84.32,495.28,431.49
2015,AZ00723,Phoenix,AZ,1559744,9261,112,1016,5113,3020,593.75,7.18,65.14,327.81,193.62
2015,UT01803,Salt Lake City,UT,191992,1642,8,291,874,469,855.24,4.17,151.57,455.23,244.28
2015,WASPD00,Seattle,WA,683700,4093,23,144,2394,1532,598.65,3.36,21.06,350.15,224.07
2015,DCMPD00,Washington,DC,672228,8084,162,494,4024,3404,1202.57,24.1,73.49,598.61,506.38
2015,KS08703,Wichita,KS,389824,3839,27,349,2730,733,984.8,6.93,89.53,700.32,188.03
